Original Order,Name,Title,Company,Youtube URL
0,Donna Johnson,Chief Marketing Officer,Inseego,https://www.youtube.com/watch?v=mwlCTdYh0uM
1,Julia Chen,Vice President,AWS Partner Core — AWS,https://www.youtube.com/watch?v=VkMVaML9yBc
2,Jonathan Sanchez,Sr. Marketing Manager,Tools & Systems — eBay,https://www.youtube.com/watch?v=kfPmU35LsYQ
3,Andreas Urschitz,CMO,Infineon,https://www.youtube.com/watch?v=QUgwtmPtN8A
4,Robert Occhialini,Chief Technology Officer,World Surf League,https://www.youtube.com/watch?v=VkMVaML9yBc
5,Akanksha Mehrotra,Corporate VP,AI & Enterprise Marketing — AMD,https://www.youtube.com/watch?v=Qcr0kreCqcI
6,Gabriel Romero,Chief Marketing Officer,AllCloud,https://www.youtube.com/watch?v=VkMVaML9yBc
7,Nishita Henry,Principal & Global CCO,Amazon Practice — Deloitte,https://www.youtube.com/watch?v=3wKAUO6LTOE
8,Julie Neumann,Chief Marketing Officer,Honeycomb.io,https://www.youtube.com/watch?v=mIMHw1U2BPg
9,Yesenia Meneses,Country Manager,Mexico — Escala 24x7,https://www.youtube.com/watch?v=vIcAdFeRykI
10,Scott Baker,CMO,VP IBM Storage — IBM,https://www.youtube.com/watch?v=Q0M71wpg9_U
11,Julia White,Chief Marketing Officer,AWS,https://www.youtube.com/watch?v=cf5zcktAe4c
12,Craig Le Clair,VP,Principal Analyst — Forrester Research,https://www.youtube.com/watch?v=dUPuYKVOeWM
13,Dimitri Vlachos,Chief Marketing Officer,Spacelift,https://www.youtube.com/watch?v=frTd_wndh_U
14,Bob Parker,SVP Industry,Software & Services Research — IDC,https://www.youtube.com/watch?v=v_Pez3nFY08
15,Bhaskar Krishnamsetty,Chief Product Officer,Fabrix.ai,https://www.youtube.com/watch?v=3U67KyFvB5M
16,Ted Marena,Director,Market Development GPU AI Data Center OEM/ODMs — AMD,https://www.youtube.com/watch?v=Yl7jJdT2XY0
17,Rached Blili,Distinguished Engineer,Fabrix.ai,https://www.youtube.com/watch?v=3U67KyFvB5M
18,Scott Baker,CMO & VP,IBM Infrastructure Portfolio Product Marketing — IBM,https://www.youtube.com/watch?v=l4obGIVgnV4
19,Shailesh Manjrekar,Chief Marketing & AI Officer,Fabrix.ai,https://www.youtube.com/watch?v=3U67KyFvB5M
20,Vedat Akgun,VP,Data Science and AI — Teradata,https://www.youtube.com/watch?v=xpQPPGeMJLM
21,Kevin Cochrane,Chief Marketing Officer,Vultr,https://www.youtube.com/watch?v=jVSpDBxDSmk
22,Jan Murry,Director of Internal Audit,GE Aerospace,https://www.youtube.com/watch?v=9N7AqZLq5ic
23,Tim Minihan,EVP of Strategy,Chief Marketing Officer — Citrix,https://www.youtube.com/watch?v=XhQElqVp6hA
24,April Crichlow,Chief Marketing Officer,AuditBoard,https://www.youtube.com/watch?v=9N7AqZLq5ic
25,Maria Winanas,CMO,North America — IBM,https://www.youtube.com/watch?v=qhAY5tNikuI
26,Michael Atalla,Chief Marketing Officer,UiPath,https://www.youtube.com/watch?v=OlIk0dv-kRk
27,Joe Damassa,VP Strategy,Offerings - Hybrid Cloud Services — IBM,https://www.youtube.com/watch?v=R45wobxqmGs
28,Monica Kumar,SVP,Product & Solutions Marketing — Nutanix,https://www.youtube.com/watch?v=fNZgmWb6008
29,Michael Nicosia,Co-Founder & COO,Salt Security,https://www.youtube.com/watch?v=g3LhSzFiz1c
30,Michael Callahan,Chief Marketing Officer,Salt Security,https://www.youtube.com/watch?v=g3LhSzFiz1c
31,John Magee,CMO,Predix — General Electric,https://www.youtube.com/watch?v=i47gqRqQVvA
32,Vik Kathuria,Global Agency Partnerships,OMB — Oracle,https://www.youtube.com/watch?v=ZkjIeeMdvCk
33,Jennifer “JJ” Johnson,Chief Marketing Officer,CrowdStrike,https://www.youtube.com/watch?v=CY2-eDU4KGo
34,Amy Luca,Chief Marketing Officer,Tensor,https://www.youtube.com/watch?v=O_QD9k9UD78
35,Jyothi Swaroop,Chief Marketing Officer,DDN,https://www.youtube.com/watch?v=cUBrsLhaJ28
36,Mick Hollison,Founder & CEO,Redline Advisors,https://www.youtube.com/watch?v=uHlrQWbdP7A
37,Bernd Greifeneder,Chief Technology Officer & Founder,Dynatrace,https://www.youtube.com/watch?v=6bBI-WZYvTo
38,Laura Heisman,Chief Marketing Officer,Dynatrace,https://www.youtube.com/watch?v=6bBI-WZYvTo
39,Ariel Wengroff,Chief Marketing Officer,Ledger,https://www.youtube.com/watch?v=kJoFVfIjcbw
40,Alison Wagonfeld,Chief Marketing Officer,Google Cloud,https://www.youtube.com/watch?v=wpqfZCx5Dcg
41,Betty Junod,Chief Marketing Officer,Heroku (Salesforce),https://www.youtube.com/watch?v=zn9v0SeTAS8
42,Vinny Choinski,Founder & Principal Analyst,Triptych Info,https://www.youtube.com/watch?v=iCQQVfUQKwk
43,Mitch Seigle,Chief Marketing Officer,Spectra Logic,https://www.youtube.com/watch?v=iCQQVfUQKwk
44,Eric Herzog,Chief Marketing Officer,Infinidat,https://www.youtube.com/watch?v=yOyt1xUZuSI
45,Danielle Goode Coady,VP of Marketing,Index Engines,https://www.youtube.com/watch?v=yOyt1xUZuSI
46,Christophe Bertrand,Principal Analyst,theCUBE Research,https://www.youtube.com/watch?v=gnGkHUaNqL8
47,Jim McGann,Chief Marketing Officer,Index Engines,https://www.youtube.com/watch?v=pVI99Hl1-9k
48,Brian Householder,Senior Advisor,Index Engines,https://www.youtube.com/watch?v=pVI99Hl1-9k
49,Tim Freestone,Chief Marketing Officer,Kiteworks,https://www.youtube.com/watch?v=9HQ3F7uU_Wc
50,Adam Berlew,Chief Marketing Officer,Equinix,https://www.youtube.com/watch?v=ddoYgwVqZzs
51,Josh Harbert,SVP & CMO,Couchbase,https://www.youtube.com/watch?v=RxK4bplhGYw
52,Matt McDonough,SVP of Product,Couchbase,https://www.youtube.com/watch?v=RxK4bplhGYw
