Original Order,Name,Title,Company,Youtube URL,Company Website,Source,Domain Notes,Confidence
0,Donna Johnson,Chief Marketing Officer,Inseego,https://www.youtube.com/watch?v=mwlCTdYh0uM,https://inseego.com/,https://inseego.com/,mapped_known_domain,high
1,Julia Chen,Vice President,AWS,https://www.youtube.com/watch?v=VkMVaML9yBc,https://aws.amazon.com/,https://aws.amazon.com/,mapped_known_domain,high
3,Andreas Urschitz,CMO,Infineon,https://www.youtube.com/watch?v=QUgwtmPtN8A,https://www.infineon.com,https://www.infineon.com,mapped_known_domain,high
4,Robert Occhialini,Chief Technology Officer,World Surf League,https://www.youtube.com/watch?v=VkMVaML9yBc,https://www.worldsurfleague.com/,https://www.worldsurfleague.com/,mapped_known_domain,high
5,Akanksha Mehrotra,Corporate VP,AMD,https://www.youtube.com/watch?v=Qcr0kreCqcI,https://www.amd.com/en.html,https://www.amd.com/en.html,mapped_known_domain,high
6,Gabriel Romero,Chief Marketing Officer,AllCloud,https://www.youtube.com/watch?v=VkMVaML9yBc,https://allcloud.com/,https://allcloud.com/,verified_from_slug,medium
8,Julie Neumann,Chief Marketing Officer,Honeycomb.io,https://www.youtube.com/watch?v=mIMHw1U2BPg,https://www.honeycomb.io/,https://www.honeycomb.io/,mapped_known_domain,high
10,Scott Baker,CMO,IBM,https://www.youtube.com/watch?v=Q0M71wpg9_U,https://www.ibm.com/in-en,https://www.ibm.com/in-en,mapped_known_domain,high
11,Julia White,Chief Marketing Officer,AWS,https://www.youtube.com/watch?v=cf5zcktAe4c,https://aws.amazon.com/,https://aws.amazon.com/,mapped_known_domain,high
12,Craig Le Clair,VP,Forrester Research,https://www.youtube.com/watch?v=dUPuYKVOeWM,https://www.forrester.com/bold/,https://www.forrester.com/bold/,mapped_known_domain,high
13,Dimitri Vlachos,Chief Marketing Officer,Spacelift,https://www.youtube.com/watch?v=frTd_wndh_U,https://spacelift.io/,https://spacelift.io/,mapped_known_domain,high
14,Bob Parker,SVP Industry,IDC,https://www.youtube.com/watch?v=v_Pez3nFY08,https://www.idc.com/,https://www.idc.com/,mapped_known_domain,high
15,Bhaskar Krishnamsetty,Chief Product Officer,Fabrix.ai,https://www.youtube.com/watch?v=3U67KyFvB5M,https://www.fabrix.ai/,https://www.fabrix.ai/,verified_from_mapping,high
16,Ted Marena,Director,AMD,https://www.youtube.com/watch?v=Yl7jJdT2XY0,https://www.amd.com/en.html,https://www.amd.com/en.html,mapped_known_domain,high
18,Scott Baker,CMO & VP,IBM,https://www.youtube.com/watch?v=l4obGIVgnV4,https://www.ibm.com/in-en,https://www.ibm.com/in-en,mapped_known_domain,high
19,Shailesh Manjrekar,Chief Marketing & AI Officer,Fabrix.ai,https://www.youtube.com/watch?v=3U67KyFvB5M,https://www.fabrix.ai/,https://www.fabrix.ai/,mapped_known_domain,high
20,Vedat Akgun,VP,Teradata,https://www.youtube.com/watch?v=xpQPPGeMJLM,https://www.teradata.com/,https://www.teradata.com/,mapped_known_domain,high
21,Kevin Cochrane,Chief Marketing Officer,Vultr,https://www.youtube.com/watch?v=jVSpDBxDSmk,https://www.vultr.com/,https://www.vultr.com/,mapped_known_domain,high
22,Jan Murry,Director of Internal Audit,GE Aerospace,https://www.youtube.com/watch?v=9N7AqZLq5ic,https://www.geaerospace.com/,https://www.geaerospace.com/,mapped_known_domain,high
23,Tim Minihan,EVP of Strategy,Citrix,https://www.youtube.com/watch?v=XhQElqVp6hA,https://www.citrix.com/,https://www.citrix.com/,mapped_known_domain,high
24,April Crichlow,Chief Marketing Officer,AuditBoard,https://www.youtube.com/watch?v=9N7AqZLq5ic,https://auditboard.com/,https://auditboard.com/,mapped_known_domain,high
25,Maria Winanas,CMO,IBM,https://www.youtube.com/watch?v=qhAY5tNikuI,https://www.ibm.com/in-en,https://www.ibm.com/in-en,mapped_known_domain,high
