Original Order,Name,Title,Company,Youtube URL,Company Website,Source,Domain Notes,Confidence,LinkedIn Search URL,Employment Verified,Verification Source,Verified At
0,Donna Johnson,Chief Marketing Officer,Inseego,https://www.youtube.com/watch?v=mwlCTdYh0uM,https://inseego.com/,https://inseego.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Donna%20Johnson%20Inseego,no,,
1,Julia Chen,Vice President,AWS,https://www.youtube.com/watch?v=VkMVaML9yBc,https://aws.amazon.com/,https://aws.amazon.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Julia%20Chen%20AWS,no,,
3,Andreas Urschitz,CMO,Infineon,https://www.youtube.com/watch?v=QUgwtmPtN8A,https://www.infineon.com,https://www.infineon.com,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Andreas%20Urschitz%20Infineon,no,,
4,Robert Occhialini,Chief Technology Officer,World Surf League,https://www.youtube.com/watch?v=VkMVaML9yBc,https://www.worldsurfleague.com/,https://www.worldsurfleague.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Robert%20Occhialini%20World%20Surf%20League,no,,
5,Akanksha Mehrotra,Corporate VP,AMD,https://www.youtube.com/watch?v=Qcr0kreCqcI,https://www.amd.com/en.html,https://www.amd.com/en.html,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Akanksha%20Mehrotra%20AMD,no,,
6,Gabriel Romero,Chief Marketing Officer,AllCloud,https://www.youtube.com/watch?v=VkMVaML9yBc,https://allcloud.com/,https://allcloud.com/,verified_from_slug,medium,https://www.linkedin.com/search/results/all/?keywords=Gabriel%20Romero%20AllCloud,no,,
8,Julie Neumann,Chief Marketing Officer,Honeycomb.io,https://www.youtube.com/watch?v=mIMHw1U2BPg,https://www.honeycomb.io/,https://www.honeycomb.io/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Julie%20Neumann%20Honeycomb.io,no,,
10,Scott Baker,CMO,IBM,https://www.youtube.com/watch?v=Q0M71wpg9_U,https://www.ibm.com/in-en,https://www.ibm.com/in-en,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Scott%20Baker%20IBM,no,,
11,Julia White,Chief Marketing Officer,AWS,https://www.youtube.com/watch?v=cf5zcktAe4c,https://aws.amazon.com/,https://aws.amazon.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Julia%20White%20AWS,no,,
12,Craig Le Clair,VP,Forrester Research,https://www.youtube.com/watch?v=dUPuYKVOeWM,https://www.forrester.com/bold/,https://www.forrester.com/bold/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Craig%20Le%20Clair%20Forrester%20Research,no,,
13,Dimitri Vlachos,Chief Marketing Officer,Spacelift,https://www.youtube.com/watch?v=frTd_wndh_U,https://spacelift.io/,https://spacelift.io/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Dimitri%20Vlachos%20Spacelift,no,,
14,Bob Parker,SVP Industry,IDC,https://www.youtube.com/watch?v=v_Pez3nFY08,https://www.idc.com/,https://www.idc.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Bob%20Parker%20IDC,no,,
